id|lat|lon|iso country|poly country|link
890457677|Sydney|-33.869444444|151.208333333|CA|AU|https://whosonfirst.mapzen.com/spelunker/id/890457677/
890456655|Brooklyn|40.692777777|-73.990277777|CA|US|https://whosonfirst.mapzen.com/spelunker/id/890456655/
890457767|St. Andrews|56.338888888|-2.798888888|CA|GB|https://whosonfirst.mapzen.com/spelunker/id/890457767/
890457847|Stirling|56.119444444|-3.935833333|CA|GB|https://whosonfirst.mapzen.com/spelunker/id/890457847/
421190459|San Sebastián|43.32|-1.98|HN|ES|https://whosonfirst.mapzen.com/spelunker/id/421190459/
890458349|Youngstown|41.096388888|-80.649166666|CA|US|https://whosonfirst.mapzen.com/spelunker/id/890458349/
890458627|Belfast|54.596666666|-5.938333333|CA|GB|https://whosonfirst.mapzen.com/spelunker/id/890458627/
101949253|Granada|37.178056|-3.600833|BR|ES|https://whosonfirst.mapzen.com/spelunker/id/101949253/
101781925|Bergen|60.3925|5.323333|DE|NO|https://whosonfirst.mapzen.com/spelunker/id/101781925/
101787781|Bergen|60.3925|5.323333|DE|NO|https://whosonfirst.mapzen.com/spelunker/id/101787781/
101951327|Casa Grande|32.885833|-111.743889|BR|US|https://whosonfirst.mapzen.com/spelunker/id/101951327/
421192011|Zaragoza|41.65|-0.883333|CR|ES|https://whosonfirst.mapzen.com/spelunker/id/421192011/
421192077|Boston|42.357778|-71.061667|JM|US|https://whosonfirst.mapzen.com/spelunker/id/421192077/
85932957|Melbourne|-37.820556|144.961389|US|AU|https://whosonfirst.mapzen.com/spelunker/id/85932957/
101952671|Funchal|32.65|-16.916667|BR|PT|https://whosonfirst.mapzen.com/spelunker/id/101952671/
101796357|Lugo|43.011667|-7.557222|IT|ES|https://whosonfirst.mapzen.com/spelunker/id/101796357/
101797181|Брест|52.133333|23.666667|BG|BY|https://whosonfirst.mapzen.com/spelunker/id/101797181/
890478299|Orsha|54.509166666|30.425833333|RU|BY|https://whosonfirst.mapzen.com/spelunker/id/890478299/
890476909|Varna|43.216666666|27.916666666|RS|BG|https://whosonfirst.mapzen.com/spelunker/id/890476909/
890483275|Voronovo|54.15|25.316666666|RU|BY|https://whosonfirst.mapzen.com/spelunker/id/890483275/
421194583|Barcelona|41.3825|2.176944|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/421194583/
890484845|Rechitsa|52.363888888|30.394722222|RU|BY|https://whosonfirst.mapzen.com/spelunker/id/890484845/
101806473|Berne|46.950833|7.438611|DE|CH|https://whosonfirst.mapzen.com/spelunker/id/101806473/
101807897|Bergen|60.3925|5.323333|DE|NO|https://whosonfirst.mapzen.com/spelunker/id/101807897/
101955009|Nantes|47.217222|-1.553889|BR|FR|https://whosonfirst.mapzen.com/spelunker/id/101955009/
85936177|Athens|38|23.716667|US|GR|https://whosonfirst.mapzen.com/spelunker/id/85936177/
421196255|Ayacucho|-13.163056|-74.224444|AR|PE|https://whosonfirst.mapzen.com/spelunker/id/421196255/
890490147|Selising|57.962222222|27.520555555|MY|EE|https://whosonfirst.mapzen.com/spelunker/id/890490147/
421196961|San Antonio|29.428611|-98.493333|AR|US|https://whosonfirst.mapzen.com/spelunker/id/421196961/
101818235|Korinth|37.933333|22.933333|DK|GR|https://whosonfirst.mapzen.com/spelunker/id/101818235/
421197915|Barcelona|41.3825|2.176944|VE|ES|https://whosonfirst.mapzen.com/spelunker/id/421197915/
421198457|San Sebastián|43.32|-1.98|HN|ES|https://whosonfirst.mapzen.com/spelunker/id/421198457/
101822407|Berga|42.1|1.845556|DE|ES|https://whosonfirst.mapzen.com/spelunker/id/101822407/
421198841|San Antonio|29.428611|-98.493333|CO|US|https://whosonfirst.mapzen.com/spelunker/id/421198841/
890499425|Japan|35|136|ID|JP|https://whosonfirst.mapzen.com/spelunker/id/890499425/
890499431|Japan|35|136|ID|JP|https://whosonfirst.mapzen.com/spelunker/id/890499431/
890502135|Jalalabad|34.430277777|70.452777777|IN|AF|https://whosonfirst.mapzen.com/spelunker/id/890502135/
890500853|Dhāka|23.7|90.366666666|IN|BD|https://whosonfirst.mapzen.com/spelunker/id/890500853/
101827745|Port-Louis|-20.166667|57.5|FR|MU|https://whosonfirst.mapzen.com/spelunker/id/101827745/
421199839|Matanzas|23.049444|-81.573611|VE|CU|https://whosonfirst.mapzen.com/spelunker/id/421199839/
890504449|Jalalabad|34.430277777|70.452777777|IN|AF|https://whosonfirst.mapzen.com/spelunker/id/890504449/
421200021|Burgos|42.340833|-3.699722|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/421200021/
101830301|Cologne|50.942222|6.957778|IT|DE|https://whosonfirst.mapzen.com/spelunker/id/101830301/
101830961|Arenas de Mar|-53.15|-70.916667|ES|CL|https://whosonfirst.mapzen.com/spelunker/id/101830961/
101832761|Lagos|6.45|3.4|PT|NG|https://whosonfirst.mapzen.com/spelunker/id/101832761/
101832927|Santo André|-23.657222|-46.533333|PT|BR|https://whosonfirst.mapzen.com/spelunker/id/101832927/
890508745|Bissau|11.859166666|-15.595555555|IN|GW|https://whosonfirst.mapzen.com/spelunker/id/890508745/
421201751|Cambridge|52.208056|0.1225|JM|GB|https://whosonfirst.mapzen.com/spelunker/id/421201751/
421202895|Potosí|-19.583333|-65.75|CO|BO|https://whosonfirst.mapzen.com/spelunker/id/421202895/
421202923|San Salvador|13.69|-89.19|PY|SV|https://whosonfirst.mapzen.com/spelunker/id/421202923/
101837591|Essen|51.458069|7.014761|BE|DE|https://whosonfirst.mapzen.com/spelunker/id/101837591/
